Running MMD experiment for train domain: AwsCont and test domain: AwsCont
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_AwsCont_256.pkl
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_AwsCont_256.pkl
Epoch 1: Train Loss=1.1340, Accuracy=92.77%
Model for train domain AwsCont to test domain AwsCont saved to exps/CNN_mmd2_1e1/AwsCont_to_AwsCont/weights/model_final_AwsCont_to_AwsCont.pth
Running MMD experiment for train domain: AwsCont and test domain: BenContainer
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_AwsCont_256.pkl
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_BenContainer_256.pkl
Epoch 1: Train Loss=1.1429, Accuracy=92.40%
         Val Loss=1.0819, Accuracy=69.62%
         MMD Loss=0.0895, Regular Loss=0.2483
Epoch 2: Train Loss=0.9426, Accuracy=98.06%
         Val Loss=1.2421, Accuracy=72.30%
         MMD Loss=0.0878, Regular Loss=0.0646
Epoch 3: Train Loss=0.9117, Accuracy=98.86%
         Val Loss=1.2388, Accuracy=73.14%
         MMD Loss=0.0872, Regular Loss=0.0405
Epoch 4: Train Loss=0.8933, Accuracy=99.17%
         Val Loss=1.3411, Accuracy=76.23%
         MMD Loss=0.0867, Regular Loss=0.0270
Epoch 5: Train Loss=0.8853, Accuracy=99.34%
         Val Loss=1.4503, Accuracy=75.15%
         MMD Loss=0.0864, Regular Loss=0.0212
Epoch 6: Train Loss=0.8827, Accuracy=99.36%
         Val Loss=1.9548, Accuracy=74.56%
         MMD Loss=0.0863, Regular Loss=0.0200
Epoch 7: Train Loss=0.8794, Accuracy=99.38%
         Val Loss=1.9767, Accuracy=72.80%
         MMD Loss=0.0862, Regular Loss=0.0177
Epoch 8: Train Loss=0.8761, Accuracy=99.51%
         Val Loss=1.8928, Accuracy=72.30%
         MMD Loss=0.0860, Regular Loss=0.0163
Epoch 9: Train Loss=0.8696, Accuracy=99.61%
         Val Loss=2.0849, Accuracy=72.72%
         MMD Loss=0.0858, Regular Loss=0.0124
Epoch 10: Train Loss=0.8721, Accuracy=99.48%
         Val Loss=2.6387, Accuracy=72.72%
         MMD Loss=0.0857, Regular Loss=0.0153
Epoch 11: Train Loss=0.8671, Accuracy=99.60%
         Val Loss=2.6862, Accuracy=73.64%
         MMD Loss=0.0855, Regular Loss=0.0130
Epoch 12: Train Loss=0.8621, Accuracy=99.66%
         Val Loss=2.5730, Accuracy=77.66%
         MMD Loss=0.0853, Regular Loss=0.0097
Epoch 13: Train Loss=0.8642, Accuracy=99.63%
         Val Loss=2.3935, Accuracy=77.07%
         MMD Loss=0.0852, Regular Loss=0.0121
Epoch 14: Train Loss=0.8582, Accuracy=99.63%
         Val Loss=4.4287, Accuracy=65.86%
         MMD Loss=0.0847, Regular Loss=0.0113
Epoch 15: Train Loss=0.8606, Accuracy=99.59%
         Val Loss=2.7579, Accuracy=73.97%
         MMD Loss=0.0847, Regular Loss=0.0143
Epoch 16: Train Loss=0.8512, Accuracy=99.71%
         Val Loss=4.2198, Accuracy=65.94%
         MMD Loss=0.0842, Regular Loss=0.0096
Epoch 17: Train Loss=0.8501, Accuracy=99.64%
         Val Loss=3.1162, Accuracy=70.04%
         MMD Loss=0.0834, Regular Loss=0.0162
Epoch 18: Train Loss=0.8393, Accuracy=99.70%
         Val Loss=3.7350, Accuracy=72.89%
         MMD Loss=0.0827, Regular Loss=0.0128
Epoch 19: Train Loss=0.8315, Accuracy=99.68%
         Val Loss=5.3594, Accuracy=70.88%
         MMD Loss=0.0820, Regular Loss=0.0120
Epoch 20: Train Loss=0.8394, Accuracy=99.60%
         Val Loss=3.8587, Accuracy=74.98%
         MMD Loss=0.0822, Regular Loss=0.0180
Training completed.
Model for train domain AwsCont to test domain BenContainer saved to exps/CNN_mmd2_1e1/AwsCont_to_BenContainer/weights/model_final_AwsCont_to_BenContainer.pth
Running MMD experiment for train domain: AwsCont and test domain: CabSpicy1
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_AwsCont_256.pkl
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_CabSpicy1_256.pkl
Epoch 1: Train Loss=1.1248, Accuracy=92.91%
         Val Loss=0.8641, Accuracy=73.13%
         MMD Loss=0.0893, Regular Loss=0.2329
Epoch 2: Train Loss=0.9472, Accuracy=97.96%
         Val Loss=1.2839, Accuracy=70.12%
         MMD Loss=0.0879, Regular Loss=0.0688
Epoch 3: Train Loss=0.9156, Accuracy=98.72%
         Val Loss=1.5488, Accuracy=69.04%
         MMD Loss=0.0872, Regular Loss=0.0442
Epoch 4: Train Loss=0.9001, Accuracy=99.02%
         Val Loss=1.9245, Accuracy=65.65%
         MMD Loss=0.0868, Regular Loss=0.0324
Epoch 5: Train Loss=0.8943, Accuracy=99.03%
         Val Loss=1.9579, Accuracy=71.10%
         MMD Loss=0.0865, Regular Loss=0.0293
Epoch 6: Train Loss=0.8812, Accuracy=99.41%
         Val Loss=1.6613, Accuracy=71.46%
         MMD Loss=0.0862, Regular Loss=0.0194
Epoch 7: Train Loss=0.8797, Accuracy=99.35%
         Val Loss=2.6417, Accuracy=70.02%
         MMD Loss=0.0861, Regular Loss=0.0196
Epoch 8: Train Loss=0.8779, Accuracy=99.38%
         Val Loss=1.8126, Accuracy=73.88%
         MMD Loss=0.0860, Regular Loss=0.0184
Epoch 9: Train Loss=0.8705, Accuracy=99.54%
         Val Loss=2.6455, Accuracy=66.70%
         MMD Loss=0.0858, Regular Loss=0.0131
Epoch 10: Train Loss=0.8702, Accuracy=99.43%
         Val Loss=2.9425, Accuracy=66.03%
         MMD Loss=0.0855, Regular Loss=0.0160
Epoch 11: Train Loss=0.8693, Accuracy=99.53%
         Val Loss=2.6825, Accuracy=68.93%
         MMD Loss=0.0856, Regular Loss=0.0136
Epoch 12: Train Loss=0.8689, Accuracy=99.53%
         Val Loss=2.3808, Accuracy=71.14%
         MMD Loss=0.0854, Regular Loss=0.0150
Epoch 13: Train Loss=0.8638, Accuracy=99.66%
         Val Loss=2.0862, Accuracy=72.30%
         MMD Loss=0.0851, Regular Loss=0.0131
Epoch 14: Train Loss=0.8586, Accuracy=99.73%
         Val Loss=3.7138, Accuracy=63.53%
         MMD Loss=0.0850, Regular Loss=0.0085
Epoch 15: Train Loss=0.8593, Accuracy=99.68%
         Val Loss=2.6440, Accuracy=69.48%
         MMD Loss=0.0850, Regular Loss=0.0100
Epoch 16: Train Loss=0.8633, Accuracy=99.59%
         Val Loss=2.1189, Accuracy=72.96%
         MMD Loss=0.0850, Regular Loss=0.0141
Epoch 17: Train Loss=0.8575, Accuracy=99.66%
         Val Loss=4.4616, Accuracy=63.32%
         MMD Loss=0.0847, Regular Loss=0.0106
Epoch 18: Train Loss=0.8544, Accuracy=99.72%
         Val Loss=2.8757, Accuracy=73.01%
         MMD Loss=0.0846, Regular Loss=0.0089
Epoch 19: Train Loss=0.8549, Accuracy=99.68%
         Val Loss=3.1950, Accuracy=70.69%
         MMD Loss=0.0845, Regular Loss=0.0100
Epoch 20: Train Loss=0.8526, Accuracy=99.74%
         Val Loss=2.7765, Accuracy=70.34%
         MMD Loss=0.0844, Regular Loss=0.0086
Training completed.
Model for train domain AwsCont to test domain CabSpicy1 saved to exps/CNN_mmd2_1e1/AwsCont_to_CabSpicy1/weights/model_final_AwsCont_to_CabSpicy1.pth
Running MMD experiment for train domain: AwsCont and test domain: HujiPC
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_AwsCont_256.pkl
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_HujiPC_256.pkl
Epoch 1: Train Loss=1.1233, Accuracy=92.79%
         Val Loss=0.7915, Accuracy=76.90%
         MMD Loss=0.0894, Regular Loss=0.2292
Epoch 2: Train Loss=0.9485, Accuracy=97.96%
         Val Loss=0.8603, Accuracy=76.86%
         MMD Loss=0.0882, Regular Loss=0.0667
Epoch 3: Train Loss=0.9190, Accuracy=98.60%
         Val Loss=0.8734, Accuracy=77.11%
         MMD Loss=0.0875, Regular Loss=0.0439
Epoch 4: Train Loss=0.9043, Accuracy=98.94%
         Val Loss=1.2423, Accuracy=71.45%
         MMD Loss=0.0871, Regular Loss=0.0342
Epoch 5: Train Loss=0.8974, Accuracy=99.01%
         Val Loss=1.2068, Accuracy=74.68%
         MMD Loss=0.0869, Regular Loss=0.0285
Epoch 6: Train Loss=0.8856, Accuracy=99.31%
         Val Loss=1.1822, Accuracy=78.92%
         MMD Loss=0.0865, Regular Loss=0.0205
Epoch 7: Train Loss=0.8790, Accuracy=99.53%
         Val Loss=1.3053, Accuracy=79.10%
         MMD Loss=0.0863, Regular Loss=0.0165
Epoch 8: Train Loss=0.8805, Accuracy=99.43%
         Val Loss=1.3626, Accuracy=77.78%
         MMD Loss=0.0864, Regular Loss=0.0174
Epoch 9: Train Loss=0.8789, Accuracy=99.47%
         Val Loss=1.5245, Accuracy=75.57%
         MMD Loss=0.0861, Regular Loss=0.0179
Epoch 10: Train Loss=0.8741, Accuracy=99.53%
         Val Loss=1.3729, Accuracy=76.25%
         MMD Loss=0.0861, Regular Loss=0.0138
Epoch 11: Train Loss=0.8724, Accuracy=99.56%
         Val Loss=1.5085, Accuracy=77.34%
         MMD Loss=0.0859, Regular Loss=0.0138
Epoch 12: Train Loss=0.8698, Accuracy=99.64%
         Val Loss=1.8088, Accuracy=78.03%
         MMD Loss=0.0858, Regular Loss=0.0125
Epoch 13: Train Loss=0.8670, Accuracy=99.74%
         Val Loss=1.6833, Accuracy=77.03%
         MMD Loss=0.0856, Regular Loss=0.0113
Epoch 14: Train Loss=0.8685, Accuracy=99.63%
         Val Loss=2.2638, Accuracy=72.03%
         MMD Loss=0.0857, Regular Loss=0.0119
Epoch 15: Train Loss=0.8677, Accuracy=99.63%
         Val Loss=1.8139, Accuracy=74.22%
         MMD Loss=0.0856, Regular Loss=0.0117
Epoch 16: Train Loss=0.8600, Accuracy=99.78%
         Val Loss=2.4584, Accuracy=72.69%
         MMD Loss=0.0854, Regular Loss=0.0062
Epoch 17: Train Loss=0.8608, Accuracy=99.76%
         Val Loss=2.5361, Accuracy=74.84%
         MMD Loss=0.0853, Regular Loss=0.0080
Epoch 18: Train Loss=0.8628, Accuracy=99.66%
         Val Loss=2.2559, Accuracy=75.11%
         MMD Loss=0.0853, Regular Loss=0.0100
Epoch 19: Train Loss=0.8610, Accuracy=99.68%
         Val Loss=1.7283, Accuracy=77.34%
         MMD Loss=0.0853, Regular Loss=0.0086
Epoch 20: Train Loss=0.8604, Accuracy=99.74%
         Val Loss=2.4285, Accuracy=75.68%
         MMD Loss=0.0852, Regular Loss=0.0090
Training completed.
Model for train domain AwsCont to test domain HujiPC saved to exps/CNN_mmd2_1e1/AwsCont_to_HujiPC/weights/model_final_AwsCont_to_HujiPC.pth
Running MMD experiment for train domain: AwsCont and test domain: TLVunContainer1
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_AwsCont_256.pkl
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_TLVunContainer1_256.pkl
Epoch 1: Train Loss=nan, Accuracy=44.85%
         Val Loss=nan, Accuracy=7.97%
         MMD Loss=nan, Regular Loss=nan
Epoch 2: Train Loss=nan, Accuracy=19.01%
         Val Loss=nan, Accuracy=7.97%
         MMD Loss=nan, Regular Loss=nan
Epoch 3: Train Loss=nan, Accuracy=19.01%
         Val Loss=nan, Accuracy=7.97%
         MMD Loss=nan, Regular Loss=nan
Epoch 4: Train Loss=nan, Accuracy=19.01%
         Val Loss=nan, Accuracy=7.97%
         MMD Loss=nan, Regular Loss=nan
Epoch 5: Train Loss=nan, Accuracy=19.01%
         Val Loss=nan, Accuracy=7.97%
         MMD Loss=nan, Regular Loss=nan
Epoch 6: Train Loss=nan, Accuracy=19.01%
         Val Loss=nan, Accuracy=7.97%
         MMD Loss=nan, Regular Loss=nan
Epoch 7: Train Loss=nan, Accuracy=19.01%
         Val Loss=nan, Accuracy=7.97%
         MMD Loss=nan, Regular Loss=nan
Epoch 8: Train Loss=nan, Accuracy=19.01%
         Val Loss=nan, Accuracy=7.97%
         MMD Loss=nan, Regular Loss=nan
Epoch 9: Train Loss=nan, Accuracy=19.01%
         Val Loss=nan, Accuracy=7.97%
         MMD Loss=nan, Regular Loss=nan
Epoch 10: Train Loss=nan, Accuracy=19.01%
         Val Loss=nan, Accuracy=7.97%
         MMD Loss=nan, Regular Loss=nan
Epoch 11: Train Loss=nan, Accuracy=19.01%
         Val Loss=nan, Accuracy=7.97%
         MMD Loss=nan, Regular Loss=nan
Epoch 12: Train Loss=nan, Accuracy=19.01%
         Val Loss=nan, Accuracy=7.97%
         MMD Loss=nan, Regular Loss=nan
Epoch 13: Train Loss=nan, Accuracy=19.01%
         Val Loss=nan, Accuracy=7.97%
         MMD Loss=nan, Regular Loss=nan
Epoch 14: Train Loss=nan, Accuracy=19.01%
         Val Loss=nan, Accuracy=7.97%
         MMD Loss=nan, Regular Loss=nan
Epoch 15: Train Loss=nan, Accuracy=19.01%
         Val Loss=nan, Accuracy=7.97%
         MMD Loss=nan, Regular Loss=nan
Epoch 16: Train Loss=nan, Accuracy=19.01%
         Val Loss=nan, Accuracy=7.97%
         MMD Loss=nan, Regular Loss=nan
Epoch 17: Train Loss=nan, Accuracy=19.01%
         Val Loss=nan, Accuracy=7.97%
         MMD Loss=nan, Regular Loss=nan
Epoch 18: Train Loss=nan, Accuracy=19.01%
         Val Loss=nan, Accuracy=7.97%
         MMD Loss=nan, Regular Loss=nan
Epoch 19: Train Loss=nan, Accuracy=19.01%
         Val Loss=nan, Accuracy=7.97%
         MMD Loss=nan, Regular Loss=nan
Epoch 20: Train Loss=nan, Accuracy=19.01%
         Val Loss=nan, Accuracy=7.97%
         MMD Loss=nan, Regular Loss=nan
Training completed.
Model for train domain AwsCont to test domain TLVunContainer1 saved to exps/CNN_mmd2_1e1/AwsCont_to_TLVunContainer1/weights/model_final_AwsCont_to_TLVunContainer1.pth
Running MMD experiment for train domain: AwsCont and test domain: TLVunContainer2
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_AwsCont_256.pkl
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_TLVunContainer2_256.pkl
Epoch 1: Train Loss=1.1277, Accuracy=92.90%
         Val Loss=0.9220, Accuracy=71.40%
         MMD Loss=0.0890, Regular Loss=0.2381
Epoch 2: Train Loss=0.9474, Accuracy=98.02%
         Val Loss=1.1025, Accuracy=69.91%
         MMD Loss=0.0877, Regular Loss=0.0706
Epoch 3: Train Loss=0.9151, Accuracy=98.69%
         Val Loss=1.0945, Accuracy=71.51%
         MMD Loss=0.0872, Regular Loss=0.0435
Epoch 4: Train Loss=0.9003, Accuracy=99.02%
         Val Loss=1.8196, Accuracy=67.10%
         MMD Loss=0.0869, Regular Loss=0.0321
Epoch 5: Train Loss=0.8916, Accuracy=99.22%
         Val Loss=1.5418, Accuracy=66.46%
         MMD Loss=0.0866, Regular Loss=0.0259
Epoch 6: Train Loss=0.8817, Accuracy=99.37%
         Val Loss=0.8357, Accuracy=79.45%
         MMD Loss=0.0863, Regular Loss=0.0187
Epoch 7: Train Loss=0.8819, Accuracy=99.37%
         Val Loss=1.2244, Accuracy=71.95%
         MMD Loss=0.0863, Regular Loss=0.0194
Epoch 8: Train Loss=0.8785, Accuracy=99.47%
         Val Loss=1.5971, Accuracy=71.45%
         MMD Loss=0.0861, Regular Loss=0.0176
Epoch 9: Train Loss=0.8702, Accuracy=99.60%
         Val Loss=1.3109, Accuracy=75.64%
         MMD Loss=0.0859, Regular Loss=0.0115
Epoch 10: Train Loss=0.8722, Accuracy=99.62%
         Val Loss=1.5246, Accuracy=72.38%
         MMD Loss=0.0859, Regular Loss=0.0131
Epoch 11: Train Loss=0.8719, Accuracy=99.60%
         Val Loss=1.4162, Accuracy=75.73%
         MMD Loss=0.0860, Regular Loss=0.0123
Epoch 12: Train Loss=0.8677, Accuracy=99.68%
         Val Loss=1.5657, Accuracy=73.59%
         MMD Loss=0.0858, Regular Loss=0.0102
Epoch 13: Train Loss=0.8724, Accuracy=99.58%
         Val Loss=1.9755, Accuracy=68.33%
         MMD Loss=0.0859, Regular Loss=0.0142
Epoch 14: Train Loss=0.8683, Accuracy=99.64%
         Val Loss=1.8969, Accuracy=70.84%
         MMD Loss=0.0857, Regular Loss=0.0117
Epoch 15: Train Loss=0.8615, Accuracy=99.77%
         Val Loss=1.4728, Accuracy=76.33%
         MMD Loss=0.0855, Regular Loss=0.0073
Epoch 16: Train Loss=0.8652, Accuracy=99.71%
         Val Loss=2.8284, Accuracy=69.14%
         MMD Loss=0.0855, Regular Loss=0.0106
Epoch 17: Train Loss=0.8639, Accuracy=99.73%
         Val Loss=2.4749, Accuracy=68.58%
         MMD Loss=0.0854, Regular Loss=0.0099
Epoch 18: Train Loss=0.8665, Accuracy=99.70%
         Val Loss=2.5170, Accuracy=67.00%
         MMD Loss=0.0855, Regular Loss=0.0116
Epoch 19: Train Loss=0.8616, Accuracy=99.73%
         Val Loss=1.5214, Accuracy=76.43%
         MMD Loss=0.0854, Regular Loss=0.0081
Epoch 20: Train Loss=0.8600, Accuracy=99.85%
         Val Loss=2.6849, Accuracy=67.10%
         MMD Loss=0.0855, Regular Loss=0.0054
Training completed.
Model for train domain AwsCont to test domain TLVunContainer2 saved to exps/CNN_mmd2_1e1/AwsCont_to_TLVunContainer2/weights/model_final_AwsCont_to_TLVunContainer2.pth
Running MMD experiment for train domain: BenContainer and test domain: AwsCont
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_BenContainer_256.pkl
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_AwsCont_256.pkl
Epoch 1: Train Loss=1.4902, Accuracy=82.21%
         Val Loss=1.1050, Accuracy=58.21%
         MMD Loss=0.0909, Regular Loss=0.5837
Epoch 2: Train Loss=1.1913, Accuracy=90.77%
         Val Loss=1.2016, Accuracy=56.77%
         MMD Loss=0.0898, Regular Loss=0.2952
Epoch 3: Train Loss=1.0833, Accuracy=94.19%
         Val Loss=1.0802, Accuracy=67.24%
         MMD Loss=0.0894, Regular Loss=0.1914
Epoch 4: Train Loss=1.0429, Accuracy=95.44%
         Val Loss=1.1143, Accuracy=69.05%
         MMD Loss=0.0887, Regular Loss=0.1578
Epoch 5: Train Loss=1.0112, Accuracy=96.26%
         Val Loss=1.1960, Accuracy=73.17%
         MMD Loss=0.0887, Regular Loss=0.1273
Epoch 6: Train Loss=0.9807, Accuracy=96.91%
         Val Loss=1.0725, Accuracy=77.72%
         MMD Loss=0.0885, Regular Loss=0.0979
Epoch 7: Train Loss=0.9730, Accuracy=96.98%
         Val Loss=1.2751, Accuracy=73.78%
         MMD Loss=0.0883, Regular Loss=0.0933
Epoch 8: Train Loss=0.9591, Accuracy=97.47%
         Val Loss=1.4352, Accuracy=72.96%
         MMD Loss=0.0882, Regular Loss=0.0792
Epoch 9: Train Loss=0.9397, Accuracy=98.16%
         Val Loss=1.3181, Accuracy=72.99%
         MMD Loss=0.0879, Regular Loss=0.0633
Epoch 10: Train Loss=0.9314, Accuracy=98.46%
         Val Loss=1.0278, Accuracy=78.52%
         MMD Loss=0.0879, Regular Loss=0.0548
Epoch 11: Train Loss=0.9201, Accuracy=98.56%
         Val Loss=1.5773, Accuracy=71.28%
         MMD Loss=0.0877, Regular Loss=0.0455
Epoch 12: Train Loss=0.8945, Accuracy=99.31%
         Val Loss=1.4259, Accuracy=73.33%
         MMD Loss=0.0870, Regular Loss=0.0264
Epoch 13: Train Loss=0.9064, Accuracy=98.75%
         Val Loss=1.6394, Accuracy=69.68%
         MMD Loss=0.0872, Regular Loss=0.0370
Epoch 14: Train Loss=0.8929, Accuracy=99.31%
         Val Loss=1.7309, Accuracy=69.55%
         MMD Loss=0.0872, Regular Loss=0.0235
Epoch 15: Train Loss=0.9137, Accuracy=98.49%
         Val Loss=1.3163, Accuracy=74.79%
         MMD Loss=0.0872, Regular Loss=0.0452
Epoch 16: Train Loss=0.9189, Accuracy=98.29%
         Val Loss=1.4925, Accuracy=71.98%
         MMD Loss=0.0873, Regular Loss=0.0478
Epoch 17: Train Loss=0.9011, Accuracy=99.08%
         Val Loss=1.8577, Accuracy=71.28%
         MMD Loss=0.0872, Regular Loss=0.0310
Epoch 18: Train Loss=0.8870, Accuracy=99.24%
         Val Loss=1.4684, Accuracy=76.48%
         MMD Loss=0.0869, Regular Loss=0.0203
Epoch 19: Train Loss=0.8875, Accuracy=99.41%
         Val Loss=1.5934, Accuracy=75.40%
         MMD Loss=0.0868, Regular Loss=0.0213
Epoch 20: Train Loss=0.8917, Accuracy=99.18%
         Val Loss=1.5074, Accuracy=75.65%
         MMD Loss=0.0867, Regular Loss=0.0267
Training completed.
Model for train domain BenContainer to test domain AwsCont saved to exps/CNN_mmd2_1e1/BenContainer_to_AwsCont/weights/model_final_BenContainer_to_AwsCont.pth
Running MMD experiment for train domain: BenContainer and test domain: BenContainer
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_BenContainer_256.pkl
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_BenContainer_256.pkl
Epoch 1: Train Loss=1.5069, Accuracy=79.94%
         Val Loss=0.6658, Accuracy=79.83%
         MMD Loss=0.0908, Regular Loss=0.6022
Epoch 2: Train Loss=1.1958, Accuracy=90.91%
         Val Loss=0.5799, Accuracy=81.92%
         MMD Loss=0.0894, Regular Loss=0.3057
Epoch 3: Train Loss=1.0936, Accuracy=93.80%
         Val Loss=0.5708, Accuracy=84.27%
         MMD Loss=0.0889, Regular Loss=0.2060
Epoch 4: Train Loss=1.0398, Accuracy=95.54%
         Val Loss=0.5416, Accuracy=85.61%
         MMD Loss=0.0884, Regular Loss=0.1616
Epoch 5: Train Loss=1.0105, Accuracy=95.80%
         Val Loss=0.4867, Accuracy=86.86%
         MMD Loss=0.0882, Regular Loss=0.1304
Epoch 6: Train Loss=0.9787, Accuracy=96.98%
         Val Loss=0.7701, Accuracy=85.52%
         MMD Loss=0.0879, Regular Loss=0.1074
Epoch 7: Train Loss=0.9754, Accuracy=96.91%
         Val Loss=0.4442, Accuracy=86.28%
         MMD Loss=0.0879, Regular Loss=0.0992
Epoch 8: Train Loss=0.9492, Accuracy=97.64%
         Val Loss=0.9455, Accuracy=85.27%
         MMD Loss=0.0876, Regular Loss=0.0779
Epoch 9: Train Loss=0.9362, Accuracy=97.93%
         Val Loss=0.5247, Accuracy=88.03%
         MMD Loss=0.0876, Regular Loss=0.0622
Epoch 10: Train Loss=0.9196, Accuracy=98.46%
         Val Loss=0.5350, Accuracy=88.87%
         MMD Loss=0.0875, Regular Loss=0.0468
Epoch 11: Train Loss=0.9192, Accuracy=98.33%
         Val Loss=0.7291, Accuracy=88.45%
         MMD Loss=0.0873, Regular Loss=0.0484
Epoch 12: Train Loss=0.9205, Accuracy=98.29%
         Val Loss=0.7810, Accuracy=87.78%
         MMD Loss=0.0874, Regular Loss=0.0492
Epoch 13: Train Loss=0.9157, Accuracy=98.46%
         Val Loss=0.5861, Accuracy=89.29%
         MMD Loss=0.0871, Regular Loss=0.0474
Epoch 14: Train Loss=0.9017, Accuracy=98.92%
         Val Loss=0.6663, Accuracy=88.70%
         MMD Loss=0.0869, Regular Loss=0.0344
Epoch 15: Train Loss=0.9242, Accuracy=98.26%
         Val Loss=0.7139, Accuracy=86.28%
         MMD Loss=0.0872, Regular Loss=0.0554
Epoch 16: Train Loss=0.9058, Accuracy=98.72%
         Val Loss=0.7013, Accuracy=86.78%
         MMD Loss=0.0871, Regular Loss=0.0367
Epoch 17: Train Loss=0.8976, Accuracy=98.79%
         Val Loss=0.8959, Accuracy=87.03%
         MMD Loss=0.0871, Regular Loss=0.0291
Epoch 18: Train Loss=0.8998, Accuracy=99.08%
         Val Loss=0.5837, Accuracy=89.87%
         MMD Loss=0.0872, Regular Loss=0.0301
Epoch 19: Train Loss=0.8812, Accuracy=99.57%
         Val Loss=0.6836, Accuracy=88.87%
         MMD Loss=0.0868, Regular Loss=0.0156
Epoch 20: Train Loss=0.8788, Accuracy=99.67%
         Val Loss=0.7536, Accuracy=87.87%
         MMD Loss=0.0866, Regular Loss=0.0151
Training completed.
Model for train domain BenContainer to test domain BenContainer saved to exps/CNN_mmd2_1e1/BenContainer_to_BenContainer/weights/model_final_BenContainer_to_BenContainer.pth
Running MMD experiment for train domain: BenContainer and test domain: CabSpicy1
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_BenContainer_256.pkl
